ts,data
1717880525921164,1.11527
1717880525927126,1.11527
1717880525931311,1.11527
1717880525935286,1.11527
1717880525939190,1.11527
1717880525943264,1.11527
1717880525947232,1.11527
1717880525951895,1.11527
1717880525955209,1.11527
1717880525964638,1.11527
1717880525967500,1.11527
1717880525973240,1.11527
1717880525977262,1.11527
1717880525981326,1.11527
1717880525985698,1.11527
1717880525989112,1.11527
1717880525993653,1.11527
1717880525997120,1.11527
1717880526003288,1.11527
1717880526007154,1.11527
1717880526011194,1.11527
1717880526015180,1.11527
1717880526019155,1.11527
1717880526023536,1.11527
1717880526029117,1.11527
1717880526033201,1.11527
1717880526037318,1.11527
1717880526041335,1.11527
1717880526045261,1.11527
1717880526049896,1.11527
1717880526053177,1.11527
1717880526057193,1.11527
1717880526061967,1.11527
1717880526067443,1.11527
1717880526071466,1.11527
1717880526075188,1.11527
1717880526079342,1.11527
1717880526083146,1.11527
1717880526087131,1.11527
1717880526091182,1.11527
1717880526095217,1.11527
1717880526099250,1.11527
1717880526103161,1.11527
1717880526111453,1.11527
1717880526116581,1.11527
1717880526119112,1.11527
1717880526123317,1.11527
1717880526127157,1.11527
1717880526131702,1.11527
1717880526136565,1.11527
1717880526140346,1.11527
1717880526143103,1.11527
1717880526147173,1.11527
1717880526151269,1.11527
1717880526155115,1.11527
1717880526159122,1.11527
1717880526163209,1.11527
1717880526167215,1.11527
1717880526173213,1.11527
1717880526177134,1.11527
1717880526181146,1.11527
1717880526185170,1.11527
1717880526189138,1.11527
1717880526193094,1.11527
1717880526197776,1.11527
1717880526201187,1.11527
1717880526207179,1.11527
1717880526211178,1.11527
1717880526215092,1.11527
1717880526219774,1.11527
1717880526225326,1.11527
1717880526229147,1.11527
1717880526233175,1.11527
1717880526238459,1.11527
1717880526241839,1.11527
1717880526245575,1.11527
1717880526249157,1.11527
1717880526253093,1.11527
1717880526257126,1.11527
1717880526261135,1.11527
1717880526265170,1.11527
1717880526269657,1.11527
1717880526273387,1.11527
1717880526277125,1.11527
1717880526281126,1.11527
1717880526285871,1.11527
1717880526292223,1.11527
1717880526295469,1.13545
1717880526299149,1.13545
1717880526303167,1.13545
1717880526307276,1.13545
1717880526311114,1.13545
1717880526316501,1.13545
1717880526320340,1.13545
1717880526327698,1.13545
1717880526331226,1.13545
1717880526335175,1.13545
1717880526339138,1.13545
1717880526343133,1.13545
1717880526347157,1.13545
1717880526351720,1.13545
1717880526355207,1.13545
1717880526359153,1.13545
1717880526371889,1.13545
1717880526375547,1.13545
1717880526379513,1.13545
1717880526383111,1.13545
1717880526387094,1.13545
1717880526391098,1.13545
1717880526395120,1.13545
1717880526399491,1.13545
1717880526403076,1.13545
1717880526407104,1.13545
1717880526411380,1.13545
1717880526415332,1.13545
1717880526419050,1.13545
1717880526423049,1.13545
1717880526427598,1.13545
1717880526431151,1.13545
1717880526435057,1.13545
1717880526439063,1.13545
1717880526443096,1.13545
1717880526447110,1.13545
1717880526451520,1.13545
1717880526459151,1.13545
1717880526463078,1.13545
1717880526467152,1.13545
1717880526471104,1.13545
1717880526475093,1.13545
1717880526479077,1.13545
1717880526483075,1.13545
1717880526487056,1.13545
1717880526491091,1.13545
1717880526495380,1.14121
1717880526499726,1.14121
1717880526503070,1.14121
1717880526508001,1.14121
1717880526511180,1.14121
1717880526515113,1.14121
1717880526519091,1.14121
1717880526523038,1.14121
1717880526527075,1.14121
1717880526531362,1.14121
1717880526536228,1.14121
1717880526539054,1.14121
1717880526546254,1.14121
1717880526550846,1.14121
1717880526555134,1.14121
1717880526559123,1.14121
1717880526563957,1.14121
1717880526567032,1.14121
1717880526571027,1.14121
1717880526575132,1.14121
1717880526579057,1.14121
1717880526584860,1.14121
1717880526589083,1.14121
1717880526593079,1.14121
1717880526598534,1.14121
1717880526601573,1.14121
1717880526605992,1.14121
1717880526609097,1.14121
1717880526613067,1.14121
1717880526618358,1.14121
1717880526623461,1.14121
1717880526627200,1.14121
1717880526631027,1.14121
1717880526635664,1.14121
1717880526639383,1.14121
1717880526643155,1.14121
1717880526647069,1.14121
1717880526654138,1.14121
1717880526657157,1.14121
1717880526661127,1.14121
1717880526665061,1.14121
1717880526669103,1.14121
1717880526673149,1.14121
1717880526677062,1.14121
1717880526681045,1.14121
1717880526687105,1.14121
1717880526691132,1.14121
1717880526695789,1.14409
1717880526699003,1.14409
1717880526703055,1.14409
1717880526707224,1.14409
1717880526711175,1.14409
1717880526715179,1.14409
1717880526719242,1.14409
1717880526723210,1.14409
1717880526727141,1.14409
1717880526731400,1.14409
1717880526735191,1.14409
1717880526739137,1.14409
1717880526743048,1.14409
1717880526749207,1.14409
1717880526753047,1.14409
1717880526757060,1.14409
1717880526761921,1.14409
1717880526765056,1.14409
1717880526769235,1.14409
1717880526775078,1.14409
1717880526779052,1.14409
1717880526783064,1.14409
1717880526787122,1.14409
1717880526791135,1.14409
1717880526795028,1.14409
1717880526799005,1.14409
1717880526803013,1.14409
1717880526806998,1.14409
1717880526811032,1.14409
1717880526815453,1.14409
1717880526819146,1.14409
1717880526823384,1.14409
1717880526826997,1.14409
1717880526831020,1.14409
1717880526835013,1.14409
1717880526839046,1.14409
1717880526843112,1.14409
1717880526848634,1.14409
1717880526853117,1.14409
1717880526857118,1.14409
1717880526861014,1.14409
1717880526865856,1.14409
1717880526869064,1.14409
1717880526878407,1.14409
1717880526882214,1.14409
1717880526884997,1.14409
1717880526889088,1.14409
1717880526895062,1.13545
1717880526899024,1.13545
1717880526904990,1.13545
1717880526909116,1.13545
1717880526915020,1.13545
1717880526919038,1.13545
1717880526923050,1.13545
1717880526928309,1.13545
1717880526933419,1.13545
1717880526937031,1.13545
1717880526941134,1.13545
1717880526947007,1.13545
1717880526950986,1.13545
1717880526955339,1.13545
1717880526959095,1.13545
1717880526963109,1.13545
1717880526967060,1.13545
1717880526971140,1.13545
1717880526975218,1.13545
1717880526980894,1.13545
1717880526985118,1.13545
1717880526989036,1.13545
1717880526993126,1.13545
1717880526997069,1.13545
1717880527001049,1.13545
1717880527005079,1.13545
1717880527009060,1.13545
1717880527014581,1.13545
1717880527017066,1.13545
1717880527020976,1.13545
1717880527025031,1.13545
1717880527028995,1.13545
1717880527033074,1.13545
1717880527037040,1.13545
1717880527041055,1.13545
1717880527045086,1.13545
1717880527048965,1.13545
1717880527052933,1.13545
1717880527059861,1.13545
1717880527068427,1.13545
1717880527071048,1.13545
1717880527074993,1.13545
1717880527079291,1.13545
1717880527082990,1.13545
1717880527087857,1.13545
