ts,t1,t2,stateByte,timeSinceBoot,relayStatusByte,timeSinceCalibration
1717880542907228,54,-168,4,822721561,0,248769885
1717880543059083,0,-168,4,822873419,0,248921743
1717880543159353,0,-112,4,822973635,0,249021959
1717880543312135,0,-112,4,823126473,0,249174797
1717880543472213,0,-168,4,823286550,0,249334874
1717880543578499,0,-112,4,823392830,0,249441154
1717880543731480,0,-168,4,823545816,0,249594140
1717880543884085,0,-168,4,823698423,0,249746747
1717880543985740,-54,-112,4,823800044,0,249848368
1717880544138101,54,-112,4,823952439,0,250000763
1717880544295096,0,-168,4,824109434,0,250157758
1717880544452096,0,-168,4,824266434,0,250314758
1717880544558345,0,-168,4,824372649,0,250420973
1717880544711326,0,-168,4,824525643,0,250573967
1717880544864081,0,-168,4,824678420,0,250726744
1717880545018136,0,-168,4,824832474,0,250880798
1717880545169113,0,-168,4,824983452,0,251031776
1717880545330223,-54,-168,4,825144560,0,251192884
1717880545487214,0,-168,4,825301552,0,251349876
1717880545588145,0,-168,4,825402482,0,251450806
1717880545744225,0,-168,4,825558563,0,251606887
1717880545905364,0,-168,4,825719701,0,251768025
1717880546058485,0,-168,4,825872822,0,251921146
1717880546161221,0,-168,4,825975558,0,252023882
1717880546373079,0,-168,4,826187418,0,252235742
1717880546529084,0,-168,4,826343420,0,252391744
1717880546685213,0,-225,4,826499549,0,252547873
1717880546841144,0,-225,4,826655481,0,252703805
1717880546992177,0,-225,4,826806480,0,252854804
1717880547144165,0,-225,4,826958504,0,253006828
1717880547303218,0,-225,4,827117555,0,253165879
1717880547461229,0,-168,4,827275560,0,253323884
1717880547563365,0,-168,4,827377656,0,253425980
1717880547715202,0,-168,4,827529499,0,253577823
1717880547867115,0,-168,4,827681454,0,253729778
1717880548078412,-54,-168,4,827892749,0,253941073
1717880548231485,0,-168,4,828045821,0,254094145
1717880548384406,0,-168,4,828198743,0,254247067
1717880548537388,0,-168,4,828351717,0,254400041
1717880548689485,0,-168,4,828503823,0,254552147
1717880548842189,0,-168,4,828656526,0,254704850
1717880548948215,0,-168,4,828762554,0,254810878
1717880549104213,0,-168,4,828918551,0,254966875
1717880549210227,0,-112,4,829024564,0,255072888
1717880549371079,0,-112,4,829185418,0,255233742
1717880549529112,0,-112,4,829343450,0,255391774
1717880549631256,0,-112,4,829445586,0,255493910
1717880549835178,0,-112,4,829649516,0,255697840
1717880549990289,0,-112,4,829804626,0,255852950
